Date,hang_seng
2022-07-19,20661.060546875
2022-07-20,20890.220703125
2022-07-21,20574.630859375
2022-07-22,20609.140625
2022-07-25,20562.939453125
2022-07-26,20905.880859375
2022-07-27,20670.0390625
2022-07-28,20622.6796875
2022-07-29,20156.509765625
2022-08-01,20165.83984375
2022-08-02,19689.2109375
2022-08-03,19767.08984375
2022-08-04,20174.0390625
2022-08-05,20201.939453125
2022-08-08,20045.76953125
2022-08-09,20003.439453125
2022-08-10,19610.83984375
2022-08-11,20082.4296875
2022-08-12,20175.619140625
2022-08-15,20040.859375
2022-08-16,19830.51953125
2022-08-17,19922.44921875
2022-08-18,19763.91015625
2022-08-19,19773.029296875
2022-08-22,19656.98046875
2022-08-23,19503.25
2022-08-24,19268.740234375
2022-08-25,19968.380859375
2022-08-26,20170.0390625
2022-08-29,20023.220703125
2022-08-30,19949.029296875
2022-08-31,19954.390625
2022-09-01,19597.310546875
2022-09-02,19452.08984375
2022-09-05,19225.69921875
2022-09-06,19202.73046875
2022-09-07,19044.30078125
2022-09-08,18854.619140625
2022-09-09,19362.25
2022-09-13,19326.859375
2022-09-14,18847.099609375
2022-09-15,18930.380859375
2022-09-16,18761.689453125
2022-09-19,18565.970703125
2022-09-20,18781.419921875
2022-09-21,18444.619140625
2022-09-22,18147.94921875
2022-09-23,17933.26953125
2022-09-26,17855.140625
2022-09-27,17860.310546875
2022-09-28,17250.880859375
2022-09-29,17165.869140625
2022-09-30,17222.830078125
2022-10-03,17079.509765625
2022-10-05,18087.970703125
2022-10-06,18012.150390625
2022-10-07,17740.05078125
2022-10-10,17216.66015625
2022-10-11,16832.359375
2022-10-12,16701.029296875
2022-10-13,16389.109375
2022-10-14,16587.689453125
2022-10-17,16612.900390625
2022-10-18,16914.580078125
2022-10-19,16511.279296875
2022-10-20,16280.2197265625
2022-10-21,16211.1201171875
2022-10-24,15180.6904296875
2022-10-25,15165.58984375
2022-10-26,15317.669921875
2022-10-27,15427.9404296875
2022-10-28,14863.0595703125
2022-10-31,14687.01953125
2022-11-01,15455.26953125
2022-11-02,15827.169921875
2022-11-03,15339.490234375
2022-11-04,16161.1396484375
2022-11-07,16595.91015625
2022-11-08,16557.310546875
2022-11-09,16358.51953125
2022-11-10,16081.0400390625
2022-11-11,17325.66015625
2022-11-14,17619.7109375
2022-11-15,18343.119140625
2022-11-16,18256.48046875
2022-11-17,18045.66015625
2022-11-18,17992.5390625
2022-11-21,17655.91015625
2022-11-22,17424.41015625
2022-11-23,17523.810546875
2022-11-24,17660.900390625
2022-11-25,17573.580078125
2022-11-28,17297.939453125
2022-11-29,18204.6796875
2022-11-30,18597.23046875
2022-12-01,18736.439453125
2022-12-02,18675.349609375
2022-12-05,19518.2890625
2022-12-06,19441.1796875
2022-12-07,18814.8203125
2022-12-08,19450.23046875
2022-12-09,19900.869140625
2022-12-12,19463.630859375
2022-12-13,19596.19921875
2022-12-14,19673.44921875
2022-12-15,19368.58984375
2022-12-16,19450.669921875
2022-12-19,19352.810546875
2022-12-20,19094.80078125
2022-12-21,19160.490234375
2022-12-22,19679.220703125
2022-12-23,19593.060546875
2022-12-28,19898.91015625
2022-12-29,19741.140625
2022-12-30,19781.41015625
2023-01-03,20145.2890625
2023-01-04,20793.109375
2023-01-05,21052.169921875
2023-01-06,20991.640625
2023-01-09,21388.33984375
2023-01-10,21331.4609375
